"id","sp_name","x","y","pseudo-absences"
"30450249","Achillea atrata",13.8373603358,47.8790272263,1
"30461138","Achillea atrata",13.8373603358,47.870693893,1
"30482987","Achillea atrata",14.4290270001,47.8540272264,1
"30482988","Achillea atrata",14.4373603334,47.8540272264,1
"30515598","Achillea atrata",13.9623603353,47.8290272265,1
"30515652","Achillea atrata",14.4123603335,47.8290272265,1
"30537337","Achillea atrata",13.6373603366,47.8123605599,1
"30537401","Achillea atrata",14.1706936678,47.8123605599,1
"30537402","Achillea atrata",14.1790270011,47.8123605599,1
