cell_km,medoid_rank,consensus_rank,species,occurrence_rows,unique_locations,duplicate_rows,occupied_cells,occupied_area_km2,centroid_x_km,centroid_y_km,mean_pairwise_jsd,jsd_to_consensus
5,1,3,Sesleria caerulea,15828,15828,0,5159,128975,-192.04294145064347,-641.6053496797094,0.7556602798098694,0.46139188280945537
5,2,2,Phyteuma orbiculare,13877,13877,0,5304,132600,-136.37167204042365,-641.8318373687961,0.7575828701952058,0.4472425901549246
5,3,1,Hippocrepis comosa,25338,25338,0,10527,263175,-349.15827336186175,-607.2366637289151,0.7599635330084147,0.43063391565469106
5,4,9,Carex sempervirens,7709,7709,0,2642,66050,-93.8152545483707,-651.0540138881273,0.7609408559476074,0.484145232414309
5,5,13,Bellidiastrum michelii,7417,7417,0,2840,71000,-89.11149982019771,-659.3917800695367,0.761438604871966,0.5040119228704829
5,6,19,Scabiosa lucida,6175,6175,0,2459,61475,-44.45341688909029,-620.7362250053354,0.7682233819695604,0.5146215880447439
5,7,14,Galium anisophyllon,5936,5936,0,2525,63125,48.545851445461004,-583.7696747841609,0.7696360388914997,0.5071536452393883
5,8,17,Geum montanum,9625,9625,0,2815,70375,-75.06273732898966,-668.221469202911,0.7732380054256222,0.5095493512310129
5,9,15,Potentilla aurea,8776,8776,0,3145,78625,16.031199920699457,-595.7797138223933,0.7741282643005933,0.5074390210957733
5,10,22,Campanula cochleariifolia,7148,7148,0,2795,69875,-12.878366669819433,-602.1628781692854,0.7754556844728809,0.5219051451970907
5,11,28,Agrostis rupestris,4464,4464,0,1713,42825,-97.257250490589,-686.1925981083687,0.7820821451813389,0.5382790551208475
5,12,24,Teucrium montanum,12454,12454,0,5200,130000,-228.90544350258585,-710.6948298345477,0.7877730685125718,0.532221988968667
5,13,35,Hornungia alpina,3646,3646,0,1632,40800,-138.71409298726724,-662.1519714264821,0.7886802727869651,0.5601093178677785
5,14,37,Helictochloa versicolor,3798,3798,0,1499,37475,-72.25111428879828,-663.3214392172084,0.7888368000927463,0.5711816146299513
5,15,34,Aster alpinus,6654,6654,0,2796,69900,-21.70950615837601,-616.0684092307164,0.7902277134659874,0.5595990601143414
5,16,11,Bromus erectus,36910,36910,0,13153,328825,-408.9045835212164,-579.0510769448324,0.7917328147752642,0.4970802381504386
5,17,36,Euphrasia minima,4358,4358,0,1475,36875,-112.3266855190419,-683.5061069855793,0.7931240605847895,0.5697335147752527
