JobIDRaw|JobID|JobName|State|ExitCode|Elapsed|TotalCPU|CPUTime|AllocCPUS|AllocTRES|MaxRSS|MaxVMSize|Start|End
55629280|55530303_123|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:44|2026-09-04T15:55:45
55629281|55530303_124|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:44|2026-09-04T15:55:45
55629282|55530303_125|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:44|2026-09-04T15:55:45
55629291|55530303_126|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:47|2026-09-04T15:55:48
55629292|55530303_127|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:47|2026-09-04T15:55:48
55629293|55530303_128|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:47|2026-09-04T15:55:48
55629307|55530303_129|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:49|2026-09-04T15:55:50
55629308|55530303_130|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:49|2026-09-04T15:55:50
55629309|55530303_131|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:49|2026-09-04T15:55:50
55629323|55530303_132|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:52|2026-09-04T15:55:53
55629324|55530303_133|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:52|2026-09-04T15:55:53
55629325|55530303_134|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:52|2026-09-04T15:55:53
55629332|55530303_135|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:56|2026-09-04T15:55:57
55629333|55530303_136|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:56|2026-09-04T15:55:57
55629334|55530303_137|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:56|2026-09-04T15:55:57
55629350|55530303_138|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:58|2026-09-04T15:55:59
55629351|55530303_139|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:58|2026-09-04T15:55:59
55629352|55530303_140|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:55:58|2026-09-04T15:55:59
55629373|55530303_141|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:02|2026-09-04T15:56:03
55629374|55530303_142|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:02|2026-09-04T15:56:03
55629375|55530303_143|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:02|2026-09-04T15:56:03
55629391|55530303_144|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:05|2026-09-04T15:56:06
55629392|55530303_145|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:05|2026-09-04T15:56:06
55629393|55530303_146|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:05|2026-09-04T15:56:06
55629404|55530303_147|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:07|2026-09-04T15:56:08
55629405|55530303_148|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:07|2026-09-04T15:56:08
55629406|55530303_149|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:07|2026-09-04T15:56:08
55629418|55530303_150|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:10|2026-09-04T15:56:11
55629419|55530303_151|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:10|2026-09-04T15:56:11
55629420|55530303_152|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:10|2026-09-04T15:56:11
55629432|55530303_153|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:12|2026-09-04T15:56:13
55629433|55530303_154|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:12|2026-09-04T15:56:13
55629434|55530303_155|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:12|2026-09-04T15:56:13
55629450|55530303_156|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:15|2026-09-04T15:56:16
55629451|55530303_157|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:15|2026-09-04T15:56:16
55629452|55530303_158|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:15|2026-09-04T15:56:16
55629465|55530303_159|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:18|2026-09-04T15:56:19
55629466|55530303_160|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:18|2026-09-04T15:56:19
55629467|55530303_161|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:18|2026-09-04T15:56:19
55629479|55530303_162|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:20|2026-09-04T15:56:21
55629480|55530303_163|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:20|2026-09-04T15:56:21
55629481|55530303_164|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:20|2026-09-04T15:56:21
55629494|55530303_165|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:23|2026-09-04T15:56:24
55629495|55530303_166|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:23|2026-09-04T15:56:24
55530303|55530303_167|biomod_pa10_campaign|CANCELLED by 0|0:0|00:00:01|00:00:00|00:00:08|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-09-04T15:56:23|2026-09-04T15:56:24
55415394|55020903_3|biomod_pa10_campaign|COMPLETED|0:0|1-09:58:37|8-06:02:47|11-07:48:56|8|billing=8,cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-08-31T17:54:21|2026-09-02T03:52:58
55415394.batch|55020903_3.batch|batch|COMPLETED|0:0|1-09:58:37|8-06:02:47|11-07:48:56|8|cpu=8,gres/tmpfs=10737418240,mem=505856000K,node=1|305579036K|312886220K|2026-08-31T17:54:21|2026-09-02T03:52:58
